research_question,experiment_name,sweep_parameter,sweep_value,dynamics,activation_family,activation_param_name,activation_param_value,lam,n,s,k,beta,seed,converged,convergence_step,publisher_welfare,user_welfare,max_improvement,last_converged,last_convergence_step,last_publisher_welfare,last_user_welfare,last_max_improvement,exposure_violation_initial,exposure_violation_terminal
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,19,True,800,0.9790408640286227,0.938928777286289,-4.196945130890972e-05,True,100,0.9794135099641006,0.9385941999915586,-6.779407647122815e-05,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,18,True,1000,0.9817812595738016,0.8980105698870363,-3.497864129181627e-05,True,200,0.982003521584921,0.8978146626609993,-6.777908527622056e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,21,True,1300,0.9651305333798705,0.9162412344385397,-2.648701404589504e-05,True,300,0.9651553145419035,0.9162405922150052,-6.777659384932244e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,20,True,2200,0.9780828907441371,0.9185213923802378,4.250804220506943e-06,True,500,0.9781985487629615,0.9184440491950485,-6.779952553515045e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,23,True,1000,0.982143290485402,0.9533286701646076,-3.5158523673084474e-05,True,200,0.9822568334311412,0.9532318445818255,-6.779958280200837e-05,2.220446049250313e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,22,True,2400,0.9710122065711305,0.9467157141554058,1.0137418562705669e-05,True,500,0.971064279025341,0.946681150105532,-6.778294985426703e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,24,True,1200,0.9866443514764289,0.9271018303462667,-2.7861139046958527e-05,True,200,0.9867185530289859,0.9270601721025421,-6.779393757061491e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,25,True,1100,0.9446913587844078,0.8735561979761624,-3.099272715323398e-05,True,200,0.9455354808671348,0.872731566548226,-6.779493734981878e-05,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,26,True,1100,0.9849123998757586,0.9112988368001975,-3.408177379360389e-05,True,200,0.9851305964093138,0.9111031143111613,-6.777846756156336e-05,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,27,True,1100,0.961985325240412,0.9099899058566182,-3.1683912855740015e-05,True,200,0.9624415437779599,0.9095773635266508,-6.778643066179812e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,28,True,1800,0.9520157730708975,0.9014485631657966,-9.619838578001083e-06,True,400,0.9522098071690623,0.9012972954575069,-6.77618206250119e-05,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,29,True,1100,0.9564598311895814,0.8911120489129095,-3.325784601293513e-05,True,200,0.9574577941336941,0.8901527402905005,-6.781007402600903e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,32,True,900,0.9737461901279042,0.9286260513945027,-4.013293689519859e-05,True,100,0.9736688879864582,0.9286978633962026,-6.77578157450287e-05,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,30,True,900,0.9702968319847203,0.9412208249100753,-3.7664624954691917e-05,True,200,0.970769423313705,0.9407807230604514,-6.775491956506619e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,31,True,1300,0.9709304259272831,0.9017803142345936,-2.5473038531453884e-05,True,200,0.9713209870652526,0.9014360070765198,-6.78048035706591e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,34,True,800,0.9685668185880181,0.8825793159035488,-4.355961617502624e-05,True,100,0.9688761534750882,0.8823447882927685,-6.77777077149333e-05,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,33,True,1500,0.9717486658947013,0.9145711200181568,-2.0705636260054394e-05,True,300,0.9713057239971657,0.9150311536921404,-6.779335450562973e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,35,True,2000,0.9618632196647288,0.8371536115315705,-3.3013164927875316e-06,True,400,0.9620351034703574,0.837059224511405,-6.77739519410192e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,36,True,900,0.9848561125460533,0.9264829528298484,-3.9919973062296776e-05,True,200,0.9847556143734413,0.9266207618604009,-6.779942374335324e-05,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,37,True,1000,0.9433497084707777,0.8858421828489501,-3.516432370631595e-05,True,200,0.9435487358485758,0.8856961494110488,-6.780093622943406e-05,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,38,True,1400,0.9824111458379677,0.9462413795599159,-2.3462354996450774e-05,True,300,0.9824113235499081,0.946263066519951,-6.779795246419917e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,39,True,900,0.9845092420109552,0.9202373420372559,-3.8776613255075976e-05,True,100,0.9847969801542559,0.9199755078847769,-6.776753914583544e-05,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,40,True,900,0.9512496016853791,0.8818945725587138,-3.898357550696785e-05,True,200,0.9508814276971439,0.882290275822859,-6.77894949595581e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,41,True,700,0.989748150324631,0.9130805783599026,-4.528753662363938e-05,True,100,0.9899078883981844,0.9129381149203173,-6.779333081247119e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,42,True,800,0.9707461243142037,0.9001190695603024,-4.3534008903334254e-05,True,100,0.9707840018634232,0.9001362312652591,-6.778415439445684e-05,1.1102230246251565e-16,1.1102230246251565e-16
